t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.862] [bmv2] [I] [thread 70267] INGRESS decided egress_spec=1
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.862] [bmv2] [D] [thread 70267] [1.0] [cxt 0] Pipeline 'ingress': end
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.862] [bmv2] [D] [thread 70267] [1.0] [cxt 0] Pipeline 'egress': start
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.863] [bmv2] [T] [thread 70267] [1.0] [cxt 0] log_probe.p4(103) Condition "hdr.ipv4.isValid()" (node_8) is true
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.863] [bmv2] [T] [thread 70267] [1.0] [cxt 0] Applying table 'tbl_log_probe106'
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.863] [bmv2] [D] [thread 70267] [1.0] [cxt 0] Looking up key:
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.863] [bmv2] [D] [thread 70267] [1.0] [cxt 0] Table 'tbl_log_probe106': miss
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.864] [bmv2] [D] [thread 70267] [1.0] [cxt 0] Action entry is log_probe106 - 
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.864] [bmv2] [T] [thread 70267] [1.0] [cxt 0] Action log_probe106
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.864] [bmv2] [T] [thread 70267] [1.0] [cxt 0] log_probe.p4(106) Primitive shared_counters.read(n, 32w0)
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.864] [bmv2] [T] [thread 70267] [1.0] [cxt 0] Read register 'shared_counters' at index 0 read value 3
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.865] [bmv2] [T] [thread 70267] [1.0] [cxt 0] log_probe.p4(107) Primitive n + 1
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.865] [bmv2] [T] [thread 70267] [1.0] [cxt 0] log_probe.p4(107) Primitive shared_counters.write(32w0, n + 1)
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.865] [bmv2] [T] [thread 70267] [1.0] [cxt 0] Wrote register 'shared_counters' at index 0 with value 4
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.865] [bmv2] [T] [thread 70267] [1.0] [cxt 0] log_probe.p4(111) Primitive shared_counters.read(e, 32w1)
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.866] [bmv2] [T] [thread 70267] [1.0] [cxt 0] Read register 'shared_counters' at index 1 read value 1
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.866] [bmv2] [T] [thread 70267] [1.0] [cxt 0] log_probe.p4(112) Primitive e + 1
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.866] [bmv2] [T] [thread 70267] [1.0] [cxt 0] log_probe.p4(112) Primitive shared_counters.write(32w1, e + 1)
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.867] [bmv2] [T] [thread 70267] [1.0] [cxt 0] Wrote register 'shared_counters' at index 1 with value 2
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.867] [bmv2] [D] [thread 70267] [1.0] [cxt 0] Pipeline 'egress': end
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.867] [bmv2] [D] [thread 70267] [1.0] [cxt 0] Deparser 'deparser': start
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.867] [bmv2] [D] [thread 70267] [1.0] [cxt 0] Deparsing header 'ethernet'
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.868] [bmv2] [D] [thread 70267] [1.0] [cxt 0] Deparsing header 'ipv4'
t=0.001 sw=1 flow=1 pkt=1 | [12:13:15.868] [bmv2] [D] [thread 70267] [1.0] [cxt 0] Deparser 'deparser': end
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.868] [bmv2] [D] [thread 70267] [2.0] [cxt 0] Parser 'parser': start
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.869] [bmv2] [D] [thread 70267] [2.0] [cxt 0] Parser 'parser' entering state 'start'
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.869] [bmv2] [D] [thread 70267] [2.0] [cxt 0] Extracting header 'ethernet'
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.870] [bmv2] [D] [thread 70267] [2.0] [cxt 0] Parser state 'start': key is 0800
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.870] [bmv2] [T] [thread 70267] [2.0] [cxt 0] Bytes parsed: 14
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.870] [bmv2] [D] [thread 70267] [2.0] [cxt 0] Parser 'parser' entering state 'parse_ipv4'
